H_kAe/m;B_T
-1171.7162471395882;0.3258942983598023
-1171.7162471395882;0.28648789377766226
-1171.7162471395882;0.2470814891955222
-1171.7162471395882;0.20767508461338213
-1171.7162471395882;0.16826868003124207
-1171.7162471395882;0.128862275449102
-1171.7162471395882;0.08945587086696194
-1171.7162471395882;0.050049466284821875
-1171.7162471395882;0.012434261910960753
-1167.7803203661326;0.5336735225201772
-1169.0922959572845;0.4835199166883626
-1169.0922959572845;0.4441135121062225
-1169.0922959572845;0.40470710752408245
-1169.0922959572845;0.36569874743267095
-1166.0310195779302;0.7641412826520874
-1166.468344774981;0.7114003876305363
-1166.468344774981;0.6733871387659466
-1166.468344774981;0.6339807341838065
-1166.468344774981;0.5945743296016665
-1167.7803203661326;0.5623327258526427
-1162.5324180015255;0.8265347565738091
-1159.908466819222;0.8853458300789727
-1158.5964912280701;0.9259463681332989
-1152.0366132723111;0.9707263733402762
-1141.5408085430968;1.0190887789638117
-1120.549199084668;1.061914747579939
-1091.6857360793288;1.0887827507041257
-1062.8222730739894;1.102461006840075
-1033.9588100686499;1.108974462142908
-1005.0953470633104;1.1145108991503163
-976.231884057971;1.1197216633925826
-947.3684210526316;1.123304063809141
-918.5049580472921;1.1265607914605573
-889.6414950419528;1.1294918463468322
-860.7780320366132;1.1311202101725406
-831.9145690312738;1.1337255922936738
-803.0511060259344;1.1356796288845237
-774.1876430205949;1.137307992710232
-745.3241800152555;1.140239047596507
-716.4607170099162;1.1408903931267902
-687.5972540045767;1.1434957752479233
-658.7337909992373;1.1444727935433483
-629.8703279938978;1.1454498118387733
-601.0068649885584;1.1480551939599066
-572.143401983219;1.1490322122553316
-543.2799389778795;1.1516375943764647
-514.4164759725401;1.1519632671416065
-485.55301296720063;1.1552199947930228
-456.6895499618612;1.1552199947930228
-427.82608695652175;1.1578253769141562
-398.9626239511823;1.1588023952095812
-370.09916094584287;1.1591280679747227
-341.23569794050354;1.1623847956261393
-312.372234935164;1.1623847956261393
-283.50877192982466;1.1633618139215642
-254.6453089244851;1.1659671960426974
-225.78184591914578;1.1659671960426974
-196.91838291380623;1.169223923694114
-168.0549199084669;1.1695495964592557
-139.19145690312735;1.1695495964592557
-110.32799389778802;1.172806324110672
-81.46453089244847;1.1731319968758138
-52.60106788710914;1.174760360701522
-23.737604881769585;1.176714397292372
-5.3699466056446;1.176714397292372
